"Statistical unit","Unit of measure","Level of education","Orientation","Sex","Age","Grade","Type of institution","Level of educational attainment","School subject","Wealth quintile","Infrastructure","Location","Type of education","Socioeconomic background","Source of funding","Funding flow","Reference area","Time Period","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"STU:Students","PT:Percentage","L2:Lower secondary education","C4:General programmes","M:Male","GE2_OVER_AGE:At least 2 years over age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:C4:M:GE2_OVER_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","20.48989","21.31266","18.83921","18.08562","18.88066","16.26934","16.06214","14.70837","13.94450","14.08273",""
"ROFST:Rate of out-of-school children","GPIA:Adjusted gender parity index","L1T3:Primary and secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:GPIA:L1T3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","0.81542","0.84467","0.83749","0.83566","0.82577","0.86003","0.83700","0.82203","0.92875","0.93699",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:M:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","72.22000","74.86000","76.46000","78.96000","81.87000","77.85000","79.53000","","","",""
"CR:Completion rate","GPI:Gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","1.08027","1.11166","1.04692","1.08906","1.04940","1.06205","1.04822","","","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PRIV:Private institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","IMPR_DWATER_AVAIL:Improved drinking water source with drinking water available","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PRIV:_Z:_T:_Z:IMPR_DWATER_AVAIL:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","100",""
"GER:Gross enrolment ratio","GPI:Gender parity index","L0:Early childhood education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GER:GPI:L0:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","1.00192","1.00680","1.02389","1.07643","1.07306","1.00665","1.00582","1.00444","1.00263","1.00433",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE65:65 years and over","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:M:Y_GE65:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","80.30443","","81.58740","","82.34492","","","","88.11954","89.81153",""
"XUNIT:Government expenditure per student","GDP_CAP:as % of GDP per capita","L5T8:Tertiary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","GOV:Government","FFNTR:Initial (net of transfers received)","VE:Venezuela (Bolivarian Republic of)","XUNIT:GDP_CAP:L5T8:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:GOV:FFNTR:VE","","","19.92027","","","","","","","",""
"ADMIN:Administration","NB:Number","L1:Primary education","_T:Total","_T:Total","_T:Total","G2_3:Grade 2 or 3","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ADMIN:NB:L1:_T:_T:_T:G2_3:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","","1","",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L2:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.76759","0.77619","0.84159","0.75909","0.81844","0.79096","0.83328","","","",""
"ROFST:Rate of out-of-school children","GPIA:Adjusted gender parity index","L2_3:Secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:GPIA:L2_3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","0.77166","0.80112","0.78829","0.79485","0.77893","0.65648","0.61167","0.75251","0.88425","0.88997",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:F:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","49.44000","48.66000","61.32000","56.56000","60.64000","57.86000","61.63000","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:F:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","84.11000","85.86000","90.03000","88.32000","91.33000","86.88000","88.28000","","","",""
"CR:Completion rate","GPI:Gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","1.27148","1.32945","1.22917","1.25246","1.20704","1.13668","1.16877","","","",""
"STU:Students","PT:Percentage","L2:Lower secondary education","C4:General programmes","F:Female","GE2_OVER_AGE:At least 2 years over age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:C4:F:GE2_OVER_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","14.65786","15.43213","13.59295","12.89672","13.58712","16.19210","15.98196","10.47734","9.83762","9.87700",""
"EA:Educational attainment","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L6T8:At least completed bachelor's or equivalent level","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:GPI:_Z:_Z:_T:Y_GE25:_Z:_Z:L6T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","","","","","1.52235","","","","1.53699","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","IMPR_SSEX_USE_TOILET:Single-sex basic sanitation facilities","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_T:_Z:_T:_Z:IMPR_SSEX_USE_TOILET:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","90.40749",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L4T8:At least completed post-secondary non-tertiary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:_T:Y_GE25:_Z:_Z:L4T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","0","0","0","","24.86441","","","","30.78096","",""
"CR:Completion rate","GPI:Gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","1.04630","1.05833","1.04192","1.04509","1.03628","1.02753","1.02666","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","1.04425","1.05511","1.04023","1.04314","1.03501","1.02679","1.02597","","","",""
"CR:Completion rate","GPI:Gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","1.25578","1.26095","1.29204","1.31565","1.16615","1.21939","1.14341","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L1_2:Primary and lower secondary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1_2:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","8.39983","10.12819","8.21337","8.09252","8.51331","7.14332","6.96424","8.13872","8.82742","11.55644",""
"GECER:Gross early childhood enrolment ratio","PT:Percentage","L01:Early childhood educational development programmes","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GECER:PT:L01:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","13.08659","8.93216","7.10773","10.04449","7.80943","7.91340","9.34128","9.31639","9.09865","8.95113",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L6T8:At least completed bachelor's or equivalent level","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:M:Y_GE25:_Z:_Z:L6T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","","","","","14.58171","","","","16.91846","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L2:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","6.48774","8.59547","7.16410","8.78850","9.82464","7.34521","4.88835","6.98781","9.03176","10.99016",""
"AIR:Gross intake ratio","PT:Percentage","L2:Lower secondary education","C4:General programmes","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","AIR:PT:L2:C4:F:_T:GLAST:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","78.36911","82.19976","82.32696","80.91494","80.83353","82.45248","83.75379","80.96282","80.20049","78.50225",""
"SCH:School","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","ELEC:Electricity","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L2:_T:_T:_T:_T:INST_T:_Z:_T:_Z:ELEC:_T:_T:_T:_Z:_Z:VE","","","","53.78049","","","","","","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PUB:Public institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","NET_PP:Internet for pedagogical purposes","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PUB:_Z:_T:_Z:NET_PP:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","21.71714",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:F:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","74.83000","79.59000","79.38000","80.67000","83.57000","80.37000","82.94000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:F:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","96.60000","97.45000","98.21000","96.38000","97.90000","97.21000","99.16000","","","",""
"ROFST:Rate of out-of-school children","GPIA:Adjusted gender parity index","L2:Lower secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:GPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","0.65704","0.76338","0.73269","0.79154","0.78921","0.66410","0.55747","0.73958","0.85099","0.86766",""
"LR:Literacy rate","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE15:15 years and over","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:GPI:_Z:_Z:_T:Y_GE15:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","0.99526","","0.99660","","1.00557","","","","0.99906","1.00180",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","URB:Urban","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:URB:_T:_T:_Z:_Z:VE","","","49.74000","","","","","","","",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L3:Upper secondary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L3:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","13.96000","14.38000","14.08000","13","14.11000","14.46000","15.08000","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","55.41000","57.07000","59.59000","61.84000","65.02000","64.08000","65.80000","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L2T8:At least completed lower secondary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:F:Y_GE25:_Z:_Z:L2T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","53.15152","55.24518","56.54334","","67.97824","","","","72.04510","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","1.26087","1.27101","1.22894","1.19182","1.12074","1.20087","1.15620","","","",""
"GER:Gross enrolment ratio","PT:Percentage","L5T8:Tertiary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GER:PT:L5T8:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","77.45471","76.99238","","","","","","","",""
"ADMIN:Administration","NB:Number","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ADMIN:NB:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","","1","",""
"XUNIT:Government expenditure per student","GDP_CAP:as % of GDP per capita","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","GOV:Government","FFNTR:Initial (net of transfers received)","VE:Venezuela (Bolivarian Republic of)","XUNIT:GDP_CAP:L3:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:GOV:FFNTR:VE","6.12920","","17.09426","","","","","","0.01466","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:F:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","65.10000","71.87000","70.80000","76.45000","76.84000","74.68000","78.88000","","","",""
"STU:Students","GPI:Gender parity index","L2_3:Secondary education","C5:Vocational programmes","_T:Total","Y15T24:15-24 years","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:GPI:L2_3:C5:_T:Y15T24:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","1.01247","0.98585","1.01456","0.99923","1.01005","1.13497","","1.02998","0.97052","",""
"ADMIN:Administration","NB:Number","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ADMIN:NB:L1:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","","1","",""
